county,color
"St. Joseph, IN",#2FC169
"LaPorte, IN",#2FC169
"Scott, IA",#2FC169
"Clinton, IA",#0CA44D
"Lyon, IA",#2FC169
"Sioux, IA",#2FC169
"Plymouth, IA",#2FC169
"Cherokee, IA",#0CA44D
"O Brien, IA",#0CA44D
"Osceola, IA",#2FC169
"Dickinson, IA",#2FC169
"Clay, IA",#0CA44D
"Buena Vista, IA",#2FC169
"Pocahontas, IA",#2FC169
"Palo Alto, IA",#2FC169
"Emmet, IA",#2FC169
"Kossuth, IA",#2FC169
"Humboldt, IA",#54CC84
"Woodbury, IA",#54CC84
"Ida, IA",#2FC169
"Sac, IA",#2FC169
"Calhoun, IA",#0CA44D
"Webster, IA",#2FC169
"Greene, IA",#0CA44D
"Carroll, IA",#0CA44D
"Crawford, IA",#54CC84
"Monona, IA",#2FC169
"Harrison, IA",#2FC169
"Shelby, IA",#2FC169
"Audubon, IA",#78D79E
"Guthrie, IA",#2FC169
"Adair, IA",#FFFFFF
"Cass, IA",#0CA44D
"Pottawattamie, IA",#2FC169
"Fremont, IA",#2FC169
"Mills, IA",#2FC169
"Montgomery, IA",#2FC169
"Page, IA",#2FC169
"Taylor, IA",#FFFFFF
"Adams, IA",#FFFFFF
"Union, IA",#137046
"Ringgold, IA",#2FC169
"Decatur, IA",#2FC169
"Clarke, IA",#0CA44D
"Madison, IA",#2FC169
"Dallas, IA",#2FC169
"Boone, IA",#2FC169
"Hamilton, IA",#2FC169
"Wright, IA",#54CC84
"Hancock, IA",#2FC169
"Winnebago, IA",#54CC84
"Worth, IA",#54CC84
"Cerro Gordo, IA",#0CA44D
"Franklin, IA",#2FC169
"Hardin, IA",#2FC169
"Story, IA",#FFFFFF
"Polk, IA",#2FC169
"Warren, IA",#2FC169
"Lucas, IA",#2FC169
"Wayne, IA",#2FC169
"Appanoose, IA",#0F934A
"Monroe, IA",#2FC169
"Marion, IA",#2FC169
"Jasper, IA",#2FC169
"Marshall, IA",#2FC169
"Grundy, IA",#0CA44D
"Butler, IA",#2FC169
"Floyd, IA",#2FC169
"Mitchell, IA",#2FC169
"Howard, IA",#54CC84
"Chickasaw, IA",#0CA44D
"Bremer, IA",#2FC169
"Black Hawk, IA",#2FC169
"Tama, IA",#FFFFFF
"Poweshiek, IA",#2FC169
"Mahaska, IA",#2FC169
"Wapello, IA",#2FC169
"Davis, IA",#2FC169
"Van Buren, IA",#0F934A
"Jefferson, IA",#2FC169
"Benton, IA",#2FC169
"Iowa, IA",#2FC169
"Keokuk, IA",#2FC169
"Washington, IA",#2FC169
"Henry, IA",#2FC169
"Lee, IA",#2FC169
"Des Moines, IA",#2FC169
"Louisa, IA",#2FC169
"Muscatine, IA",#2FC169
"Johnson, IA",#2FC169
"Linn, IA",#2FC169
"Cedar, IA",#0CA44D
"Jones, IA",#2FC169
"Buchanan, IA",#2FC169
"Fayette, IA",#2FC169
"Winneshiek, IA",#54CC84
"Allamakee, IA",#0F934A
"Clayton, IA",#0CA44D
"Delaware, IA",#2FC169
"Dubuque, IA",#2FC169
"Jackson, IA",#2FC169
"Doniphan, KS",#2FC169
"Brown, KS",#2FC169
"Stanton, KS",#2FC169
"Morton, KS",#2FC169
"Stevens, KS",#FFFFFF
"Grant, KS",#0CA44D
"Haskell, KS",#2FC169
"Seward, KS",#2FC169
"Meade, KS",#2FC169
"Gray, KS",#0CA44D
"Ford, KS",#2FC169
"Clark, KS",#0CA44D
"Comanche, KS",#54CC84
"Kiowa, KS",#2FC169
"Edwards, KS",#2FC169
"Pratt, KS",#0F934A
"Barber, KS",#2FC169
"Harper, KS",#2FC169
"Kingman, KS",#2FC169
"Reno, KS",#0F934A
"Harvey, KS",#2FC169
"Sedgwick, KS",#2FC169
"Sumner, KS",#FFFFFF
"Cowley, KS",#54CC84
"Butler, KS",#2FC169
"Chautauqua, KS",#0CA44D
"Elk, KS",#2FC169
"Greenwood, KS",#0CA44D
"Montgomery, KS",#2FC169
"Wilson, KS",#54CC84
"Woodson, KS",#54CC84
"Labette, KS",#2FC169
"Neosho, KS",#78D79E
"Allen, KS",#0F934A
"Cherokee, KS",#0CA44D
"Crawford, KS",#54CC84
"Bourbon, KS",#2FC169
"Hamilton, KS",#2FC169
"Greeley, KS",#0CA44D
"Wallace, KS",#2FC169
"Sherman, KS",#2FC169
"Cheyenne, KS",#0CA44D
"Stafford, KS",#2FC169
"Kearny, KS",#2FC169
"Finney, KS",#2FC169
"Hodgeman, KS",#54CC84
"Pawnee, KS",#2FC169
"Coffey, KS",#54CC84
"Anderson, KS",#0F934A
"Linn, KS",#2FC169
"Miami, KS",#2FC169
"Franklin, KS",#2FC169
"Osage, KS",#2FC169
"Lyon, KS",#2FC169
"Chase, KS",#0CA44D
"Morris, KS",#2FC169
"Marion, KS",#2FC169
"McPherson, KS",#2FC169
"Rice, KS",#2FC169
"Saline, KS",#2FC169
"Ellsworth, KS",#2FC169
"Barton, KS",#2FC169
"Rush, KS",#2FC169
"Ness, KS",#78D79E
"Lane, KS",#2FC169
"Scott, KS",#2FC169
"Wichita, KS",#54CC84
"Logan, KS",#2FC169
"Gove, KS",#0CA44D
"Trego, KS",#0CA44D
"Ellis, KS",#2FC169
"Russell, KS",#2FC169
"Lincoln, KS",#2FC169
"Ottawa, KS",#2FC169
"Dickinson, KS",#2FC169
"Geary, KS",#0CA44D
"Wabaunsee, KS",#2FC169
"Shawnee, KS",#2FC169
"Douglas, KS",#2FC169
"Johnson, KS",#2FC169
"Wyandotte, KS",#2FC169
"Leavenworth, KS",#2FC169
"Jefferson, KS",#2FC169
"Atchison, KS",#78D79E
"Jackson, KS",#2FC169
"Pottawatomie, KS",#2FC169
"Riley, KS",#2FC169
"Clay, KS",#0CA44D
"Cloud, KS",#0CA44D
"Mitchell, KS",#2FC169
"Osborne, KS",#2FC169
"Rooks, KS",#2FC169
"Graham, KS",#0CA44D
"Sheridan, KS",#2FC169
"Thomas, KS",#FFFFFF
"Rawlins, KS",#0F934A
"Decatur, KS",#2FC169
"Phillips, KS",#2FC169
"Norton, KS",#54CC84
"Smith, KS",#2FC169
"Jewell, KS",#2FC169
"Republic, KS",#0F934A
"Washington, KS",#2FC169
"Marshall, KS",#2FC169
"Nemaha, KS",#78D79E
"Hickman, KY",#54CC84
"Fulton, KY",#2FC169
"Bell, KY",#2FC169
"Knox, KY",#2FC169
"Whitley, KY",#2FC169
"Laurel, KY",#2FC169
"Clay, KY",#0CA44D
"Leslie, KY",#2FC169
"Harlan, KY",#2FC169
"Letcher, KY",#2FC169
"Knott, KY",#2FC169
"Perry, KY",#2FC169
"Owsley, KY",#2FC169
"Jackson, KY",#2FC169
"Estill, KY",#2FC169
"Lee, KY",#2FC169
"Breathitt, KY",#2FC169
"Floyd, KY",#2FC169
"Johnson, KY",#2FC169
"Magoffin, KY",#2FC169
"Wolfe, KY",#54CC84
"Powell, KY",#2FC169
"Clark, KY",#0CA44D
"Montgomery, KY",#2FC169
"Menifee, KY",#2FC169
"Morgan, KY",#2FC169
"Elliott, KY",#2FC169
"Rowan, KY",#2FC169
"Bath, KY",#2FC169
"Nicholas, KY",#FFFFFF
"Fleming, KY",#2FC169
"Robertson, KY",#2FC169
"Bracken, KY",#2FC169
"Mason, KY",#2FC169
"Lewis, KY",#2FC169
"Boyd, KY",#2FC169
"Greenup, KY",#0CA44D
"Carter, KY",#0CA44D
"Lawrence, KY",#2FC169
"Martin, KY",#2FC169
"Pike, KY",#2FC169
"Harrison, KY",#2FC169
"Bourbon, KY",#2FC169
"Madison, KY",#2FC169
"Rockcastle, KY",#2FC169
"McCreary, KY",#2FC169
"Lincoln, KY",#2FC169
"Garrard, KY",#0CA44D
"Jessamine, KY",#2FC169
"Fayette, KY",#2FC169
"Woodford, KY",#54CC84
"Scott, KY",#2FC169
"Franklin, KY",#2FC169
"Anderson, KY",#0F934A
"Mercer, KY",#2FC169
"Boyle, KY",#2FC169
"Casey, KY",#0CA44D
"Pulaski, KY",#0F934A
"Wayne, KY",#2FC169
"Russell, KY",#2FC169
"Clinton, KY",#0CA44D
"Cumberland, KY",#2FC169
"Adair, KY",#FFFFFF
"Taylor, KY",#FFFFFF
"Marion, KY",#2FC169
"Washington, KY",#2FC169
"Spencer, KY",#2FC169
"Shelby, KY",#2FC169
"Henry, KY",#2FC169
"Owen, KY",#2FC169
"Grant, KY",#0CA44D
"Pendleton, KY",#2FC169
"Campbell, KY",#0CA44D
"Kenton, KY",#2FC169
"Boone, KY",#2FC169
"Gallatin, KY",#0CA44D
"Carroll, KY",#0CA44D
"Trimble, KY",#0CA44D
"Oldham, KY",#2FC169
"Jefferson, KY",#2FC169
"Bullitt, KY",#2FC169
"Nelson, KY",#78D79E
"Larue, KY",#2FC169
"Green, KY",#0CA44D
"Metcalfe, KY",#2FC169
"Monroe, KY",#2FC169
"Simpson, KY",#2FC169
"Allen, KY",#0F934A
"Barren, KY",#2FC169
"Hart, KY",#2FC169
"Hardin, KY",#2FC169
"Meade, KY",#2FC169
"Hancock, KY",#2FC169
"Breckinridge, KY",#2FC169
"Grayson, KY",#0CA44D
"Edmonson, KY",#2FC169
"Warren, KY",#2FC169
"Butler, KY",#2FC169
"Logan, KY",#2FC169
"Todd, KY",#0CA44D
"Muhlenberg, KY",#2FC169
"Ohio, KY",#0F934A
"Daviess, KY",#2FC169
"McLean, KY",#2FC169
"Hopkins, KY",#54CC84
"Christian, KY",#0CA44D
"Trigg, KY",#0CA44D
"Lyon, KY",#2FC169
"Caldwell, KY",#0CA44D
"Webster, KY",#2FC169
"Henderson, KY",#2FC169
"Union, KY",#137046
"Crittenden, KY",#54CC84
"Livingston, KY",#2FC169
"Calloway, KY",#0CA44D
"Marshall, KY",#2FC169
"Graves, KY",#0CA44D
"McCracken, KY",#2FC169
"Carlisle, KY",#0CA44D
"Ballard, KY",#2FC169
"St. Tammany, LA",#2FC169
"Washington, LA",#2FC169
"Red River, LA",#0F934A
"Bienville, LA",#2FC169
"Lincoln, LA",#2FC169
"Jackson, LA",#2FC169
"Winn, LA",#54CC84
"Caldwell, LA",#0CA44D
"Ouachita, LA",#2FC169
"Richland, LA",#2FC169
"Franklin, LA",#2FC169
"Tensas, LA",#FFFFFF
"Madison, LA",#2FC169
"East Carroll, LA",#2FC169
"West Carroll, LA",#2FC169
"Morehouse, LA",#2FC169
"Union, LA",#137046
"Claiborne, LA",#0CA44D
"Webster, LA",#2FC169
"Bossier, LA",#2FC169
"Caddo, LA",#0CA44D
"De Soto, LA",#2FC169
"Sabine, LA",#2FC169
"Natchitoches, LA",#2FC169
"Grant, LA",#0CA44D
"LaSalle, LA",#2FC169
"Catahoula, LA",#0CA44D
"Concordia, LA",#54CC84
"Avoyelles, LA",#78D79E
"Rapides, LA",#0F934A
"Vernon, LA",#0F934A
"Evangeline, LA",#2FC169
"Allen, LA",#0F934A
"Beauregard, LA",#2FC169
"Jefferson Davis, LA",#2FC169
"Calcasieu, LA",#0CA44D
"Cameron, LA",#0CA44D
"Acadia, LA",#FFFFFF
"St. Landry, LA",#2FC169
"Pointe Coupee, LA",#2FC169
"West Baton Rouge, LA",#2FC169
"Lafayette, LA",#2FC169
"Vermilion, LA",#0F934A
"Iberia, LA",#2FC169
"Iberville, LA",#2FC169
"Assumption, LA",#78D79E
"St. Martin, LA",#2FC169
"St. Mary, LA",#2FC169
"Terrebonne, LA",#FFFFFF
"Lafourche, LA",#2FC169
"St. James, LA",#2FC169
"Ascension, LA",#78D79E
"East Baton Rouge, LA",#2FC169
"East Feliciana, LA",#2FC169
"St. Helena, LA",#2FC169
"Livingston, LA",#2FC169
"St. John the Baptist, LA",#2FC169
"St. Charles, LA",#2FC169
"Tangipahoa, LA",#FFFFFF
"Orleans, LA",#2FC169
"St. Bernard, LA",#2FC169
"Plaquemines, LA",#2FC169
"West Feliciana, LA",#2FC169
"Jefferson, LA",#2FC169
"Aroostook, ME",#0CA44D
"Piscataquis, ME",#2FC169
"Knox, ME",#2FC169
"Lincoln, ME",#2FC169
"Sagadahoc, ME",#2FC169
"Cumberland, ME",#2FC169
"York, ME",#2FC169
"Androscoggin, ME",#0F934A
"Oxford, ME",#2FC169
"Kennebec, ME",#2FC169
"Waldo, ME",#2FC169
"Hancock, ME",#2FC169
"Washington, ME",#2FC169
"Penobscot, ME",#2FC169
"Franklin, ME",#2FC169
"Somerset, ME",#2FC169
"Allegany, MD",#0F934A
"Garrett, MD",#0CA44D
"St. Mary's, MD",#2FC169
"Charles, MD",#0CA44D
"Worcester, MD",#54CC84
"Wicomico, MD",#54CC84
"Washington, MD",#2FC169
"Calvert, MD",#0CA44D
"Talbot, MD",#FFFFFF
"Caroline, MD",#0CA44D
"Kent, MD",#2FC169
"Baltimore City, MD",#2FC169
"Prince George's, MD",#0F934A
"Anne Arundel, MD",#0F934A
"Howard, MD",#54CC84
"Montgomery, MD",#2FC169
"Queen Anne's, MD",#0F934A
"Cecil, MD",#0CA44D
"Harford, MD",#2FC169
"Baltimore Co., MD",#2FC169
"Carroll, MD",#0CA44D
"Frederick, MD",#2FC169
"Somerset, MD",#2FC169
"Dorchester, MD",#2FC169
"Barnstable, MA",#2FC169
"Berkshire, MA",#2FC169
"Bristol, MA",#2FC169
"Dukes, MA",#2FC169
"Essex, MA",#2FC169
"Franklin, MA",#2FC169
"Hampden, MA",#2FC169
"Hampshire, MA",#2FC169
"Middlesex, MA",#2FC169
"Nantucket, MA",#2FC169
"Norfolk, MA",#54CC84
"Plymouth, MA",#2FC169
"Suffolk, MA",#FFFFFF
"Worcester, MA",#54CC84
"Gogebic, MI",#0CA44D
"Ontonagon, MI",#2FC169
"Monroe, MI",#2FC169
"Lenawee, MI",#2FC169
"Hillsdale, MI",#54CC84
"Branch, MI",#2FC169
"St. Joseph, MI",#2FC169
"Cass, MI",#0CA44D
"Berrien, MI",#2FC169
"Wayne, MI",#2FC169
"Washtenaw, MI",#2FC169
"Jackson, MI",#2FC169
"Calhoun, MI",#0CA44D
"Kalamazoo, MI",#2FC169
"Van Buren, MI",#0F934A
"Allegan, MI",#0F934A
"Barry, MI",#2FC169
"Eaton, MI",#2FC169
"Ingham, MI",#2FC169
"Livingston, MI",#2FC169
"Oakland, MI",#0CA44D
"Macomb, MI",#2FC169
"St. Clair, MI",#2FC169
"Lapeer, MI",#2FC169
"Genesee, MI",#0CA44D
"Shiawassee, MI",#2FC169
"Clinton, MI",#0CA44D
"Ionia, MI",#2FC169
"Ottawa, MI",#2FC169
"Muskegon, MI",#2FC169
"Kent, MI",#2FC169
"Montcalm, MI",#2FC169
"Gratiot, MI",#0CA44D
"Saginaw, MI",#2FC169
"Sanilac, MI",#2FC169
"Tuscola, MI",#0CA44D
"Huron, MI",#54CC84
"Bay, MI",#2FC169
"Midland, MI",#2FC169
"Isabella, MI",#2FC169
"Mecosta, MI",#2FC169
"Newaygo, MI",#78D79E
"Oceana, MI",#0CA44D
"Arenac, MI",#0CA44D
"Gladwin, MI",#0CA44D
"Clare, MI",#0CA44D
"Osceola, MI",#2FC169
"Lake, MI",#2FC169
"Mason, MI",#2FC169
"Iosco, MI",#2FC169
"Ogemaw, MI",#0CA44D
"Roscommon, MI",#2FC169
"Missaukee, MI",#2FC169
"Wexford, MI",#2FC169
"Manistee, MI",#2FC169
"Alcona, MI",#0F934A
"Oscoda, MI",#2FC169
"Crawford, MI",#54CC84
"Kalkaska, MI",#2FC169
"Grand Traverse, MI",#0CA44D
"Benzie, MI",#2FC169
"Leelanau, MI",#2FC169
"Alpena, MI",#0F934A
"Montmorency, MI",#2FC169
"Otsego, MI",#2FC169
"Antrim, MI",#0F934A
"Charlevoix, MI",#0CA44D
"Presque Isle, MI",#0F934A
"Cheboygan, MI",#0CA44D
"Emmet, MI",#2FC169
"Mackinac, MI",#2FC169
"Chippewa, MI",#0CA44D
"Luce, MI",#2FC169
"Schoolcraft, MI",#2FC169
"Alger, MI",#0F934A
"Delta, MI",#2FC169
"Menominee, MI",#2FC169
"Dickinson, MI",#2FC169
"Marquette, MI",#2FC169
"Iron, MI",#2FC169
"Keweenaw, MI",#2FC169
"Houghton, MI",#54CC84
"Baraga, MI",#2FC169
"Houston, MN",#54CC84
"Fillmore, MN",#2FC169
"Koochiching, MN",#2FC169
"Lake of the Woods, MN",#2FC169
"Roseau, MN",#2FC169
"Kittson, MN",#2FC169
"Red Lake, MN",#0F934A
"Pennington, MN",#2FC169
"Marshall, MN",#2FC169
"Polk, MN",#2FC169
"Norman, MN",#54CC84
"Mahnomen, MN",#2FC169
"Clearwater, MN",#0CA44D
"Beltrami, MN",#2FC169
"Cook, MN",#54CC84
"Lake, MN",#2FC169
"Itasca, MN",#2FC169
"Hubbard, MN",#54CC84
"Cass, MN",#0CA44D
"Wadena, MN",#2FC169
"Becker, MN",#2FC169
"Clay, MN",#0CA44D
"Wilkin, MN",#54CC84
"Otter Tail, MN",#2FC169
"St. Louis, MN",#2FC169
"Carlton, MN",#0CA44D
"Pine, MN",#2FC169
"Kanabec, MN",#2FC169
"Aitkin, MN",#FFFFFF
"Crow Wing, MN",#54CC84
"Morrison, MN",#2FC169
"Todd, MN",#0CA44D
"Douglas, MN",#2FC169
"Grant, MN",#0CA44D
"Traverse, MN",#0CA44D
"Big Stone, MN",#2FC169
"Swift, MN",#FFFFFF
"Stevens, MN",#FFFFFF
"Pope, MN",#2FC169
"Stearns, MN",#FFFFFF
"Benton, MN",#2FC169
"Mille Lacs, MN",#2FC169
"Isanti, MN",#2FC169
"Chisago, MN",#0CA44D
"Ramsey, MN",#0F934A
"Anoka, MN",#0F934A
"Sherburne, MN",#2FC169
"Wright, MN",#54CC84
"Meeker, MN",#2FC169
"Kandiyohi, MN",#2FC169
"Chippewa, MN",#0CA44D
"Washington, MN",#2FC169
"Dakota, MN",#2FC169
"Hennepin, MN",#2FC169
"Scott, MN",#2FC169
"Carver, MN",#0CA44D
"McLeod, MN",#2FC169
"Sibley, MN",#2FC169
"Renville, MN",#0F934A
"Lac qui Parle, MN",#2FC169
"Yellow Medicine, MN",#2FC169
"Lincoln, MN",#2FC169
"Lyon, MN",#2FC169
"Redwood, MN",#0F934A
"Brown, MN",#2FC169
"Nicollet, MN",#FFFFFF
"Le Sueur, MN",#2FC169
"Rice, MN",#2FC169
"Goodhue, MN",#0CA44D
"Wabasha, MN",#2FC169
"Winona, MN",#54CC84
"Olmsted, MN",#2FC169
"Dodge, MN",#2FC169
"Steele, MN",#FFFFFF
"Waseca, MN",#2FC169
"Blue Earth, MN",#2FC169
"Watonwan, MN",#2FC169
"Cottonwood, MN",#54CC84
"Murray, MN",#2FC169
"Pipestone, MN",#2FC169
"Rock, MN",#2FC169
"Nobles, MN",#54CC84
"Jackson, MN",#2FC169
"Martin, MN",#2FC169
"Faribault, MN",#2FC169
"Freeborn, MN",#2FC169
"Mower, MN",#2FC169
"Harrison, MS",#2FC169
"Jackson, MS",#2FC169
"Grenada, MS",#0CA44D
"Yalobusha, MS",#2FC169
"Clay, MS",#0CA44D
"Webster, MS",#2FC169
"Chickasaw, MS",#0CA44D
"Calhoun, MS",#0CA44D
"Pontotoc, MS",#2FC169
"Lee, MS",#2FC169
"Union, MS",#137046
"Lafayette, MS",#2FC169
"Tate, MS",#FFFFFF
"Panola, MS",#2FC169
"Quitman, MS",#0F934A
"Tallahatchie, MS",#FFFFFF
"Leflore, MS",#2FC169
"Sunflower, MS",#FFFFFF
"Humphreys, MS",#54CC84
"Holmes, MS",#54CC84
"Carroll, MS",#0CA44D
"Montgomery, MS",#2FC169
"Choctaw, MS",#0CA44D
"Oktibbeha, MS",#2FC169
"Lowndes, MS",#2FC169
"Monroe, MS",#2FC169
"Itawamba, MS",#2FC169
"Prentiss, MS",#0F934A
"Tishomingo, MS",#FFFFFF
"Alcorn, MS",#0F934A
"Tippah, MS",#FFFFFF
"Benton, MS",#2FC169
"Marshall, MS",#2FC169
"DeSoto, MS",#2FC169
"Tunica, MS",#0CA44D
"Coahoma, MS",#54CC84
"Bolivar, MS",#2FC169
"Washington, MS",#2FC169
"Sharkey, MS",#2FC169
"Issaquena, MS",#2FC169
"Yazoo, MS",#2FC169
"Attala, MS",#78D79E
"Winston, MS",#54CC84
"Noxubee, MS",#54CC84
"Kemper, MS",#2FC169
"Neshoba, MS",#78D79E
"Leake, MS",#2FC169
"Madison, MS",#2FC169
"Rankin, MS",#0F934A
"Hinds, MS",#54CC84
"Warren, MS",#2FC169
"Jefferson, MS",#2FC169
"Claiborne, MS",#0CA44D
"Copiah, MS",#54CC84
"Simpson, MS",#2FC169
"Smith, MS",#2FC169
"Scott, MS",#2FC169
"Newton, MS",#78D79E
"Lauderdale, MS",#2FC169
"Clarke, MS",#0CA44D
"Jasper, MS",#2FC169
"Jones, MS",#2FC169
"Covington, MS",#54CC84
"Jefferson Davis, MS",#2FC169
"Lawrence, MS",#2FC169
"Lincoln, MS",#2FC169
"Franklin, MS",#2FC169
"Adams, MS",#FFFFFF
"Wilkinson, MS",#54CC84
"Amite, MS",#0F934A
"Pike, MS",#2FC169
"Walthall, MS",#2FC169
"Marion, MS",#2FC169
"Lamar, MS",#2FC169
"Forrest, MS",#2FC169
"Wayne, MS",#2FC169
"Greene, MS",#0CA44D
"Perry, MS",#2FC169
"Stone, MS",#FFFFFF
"Pearl River, MS",#2FC169
"Hancock, MS",#2FC169
"George, MS",#0CA44D
"New_Madrid, MO",#78D79E
"Pemiscot, MO",#2FC169
"Atchison, MO",#78D79E
"Holt, MO",#54CC84
"Platte, MO",#2FC169
"Buchanan, MO",#2FC169
"Andrew, MO",#0F934A
"Nodaway, MO",#54CC84
"Worth, MO",#54CC84
"Gentry, MO",#0CA44D
"DeKalb, MO",#2FC169
"Clinton, MO",#0CA44D
"Clay, MO",#0CA44D
"Caldwell, MO",#0CA44D
"Daviess, MO",#2FC169
"Harrison, MO",#2FC169
"Mercer, MO",#2FC169
"Grundy, MO",#0CA44D
"Livingston, MO",#2FC169
"Carroll, MO",#0CA44D
"Ray, MO",#0F934A
"Lafayette, MO",#2FC169
"Jackson, MO",#2FC169
"Johnson, MO",#2FC169
"Henry, MO",#2FC169
"Cass, MO",#0CA44D
"St. Clair, MO",#2FC169
"Bates, MO",#2FC169
"Cedar, MO",#0CA44D
"Vernon, MO",#0F934A
"Dade, MO",#2FC169
"Barton, MO",#2FC169
"Jasper, MO",#2FC169
"Newton, MO",#78D79E
"McDonald, MO",#2FC169
"Lawrence, MO",#2FC169
"Barry, MO",#2FC169
"Polk, MO",#2FC169
"Stone, MO",#FFFFFF
"Greene, MO",#0CA44D
"Taney, MO",#FFFFFF
"Christian, MO",#0CA44D
"Webster, MO",#2FC169
"Dallas, MO",#2FC169
"Hickory, MO",#54CC84
"Benton, MO",#2FC169
"Pettis, MO",#2FC169
"Saline, MO",#2FC169
"Chariton, MO",#0CA44D
"Linn, MO",#2FC169
"Sullivan, MO",#FFFFFF
"Putnam, MO",#0F934A
"Schuyler, MO",#2FC169
"Adair, MO",#FFFFFF
"Macon, MO",#2FC169
"Randolph, MO",#0F934A
"Howard, MO",#54CC84
"Cooper, MO",#54CC84
"Boone, MO",#2FC169
"Cole, MO",#54CC84
"Moniteau, MO",#2FC169
"Morgan, MO",#2FC169
"Miller, MO",#2FC169
"Camden, MO",#0CA44D
"Pulaski, MO",#0F934A
"Laclede, MO",#2FC169
"Wright, MO",#54CC84
"Douglas, MO",#2FC169
"Ozark, MO",#2FC169
"Howell, MO",#54CC84
"Texas, MO",#FFFFFF
"Phelps, MO",#2FC169
"Maries, MO",#2FC169
"Osage, MO",#2FC169
"Callaway, MO",#0CA44D
"Monroe, MO",#2FC169
"Shelby, MO",#2FC169
"Knox, MO",#2FC169
"Scotland, MO",#2FC169
"Clark, MO",#0CA44D
"Lewis, MO",#2FC169
"Marion, MO",#2FC169
"Ralls, MO",#0F934A
"Audrain, MO",#78D79E
"Montgomery, MO",#2FC169
"Pike, MO",#2FC169
"Lincoln, MO",#2FC169
"Warren, MO",#2FC169
